City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,lebu,20,ET,1540087200,76,8.96,38.73,53.6,4.7
146,hamilton,75,BM,1540086900,69,32.3,-64.78,75.2,12.75
147,victoria,75,BN,1540090800,88,5.28,115.24,80.6,3.36
148,kirakira,92,SB,1540091726,100,-10.46,161.92,81.32,7.18
149,itarema,12,BR,1540091588,94,-2.92,-39.92,74.66,9.31
150,keflavik,75,IS,1540089000,100,64.0,-22.56,41.0,41.38
151,auki,0,NG,1540091727,39,12.18,6.51,64.76,7.96
152,sitka,0,US,1540091727,54,37.17,-99.65,52.25,10.2
153,kidal,24,ML,1540091728,31,18.44,1.41,74.98,2.59
154,reading,90,US,1540090560,87,40.34,-75.93,48.2,4.7
155,ribeira grande,88,PT,1540091728,100,38.52,-28.7,68.36,17.81
156,bozeman,1,US,1540090380,77,45.68,-111.04,55.4,14.99
157,gaogou,56,CN,1540091729,78,31.12,117.94,68.23,12.21
158,petropavlovsk-kamchatskiy,68,RU,1540089000,36,53.05,158.65,48.2,2.24
159,ovalle,0,CL,1540091730,85,-30.6,-71.2,50.23,3.38
160,yerbogachen,88,RU,1540091730,85,61.28,108.01,28.31,3.71
161,taltal,36,CL,1540091730,96,-25.41,-70.49,52.3,1.14
162,lavrentiya,64,RU,1540091199,100,65.58,-170.99,40.46,15.46
163,berdigestyakh,0,RU,1540091247,81,62.1,126.7,27.82,3.71
164,tiznit,56,MA,1540091185,94,29.7,-9.73,60.44,7.96
165,sao marcos,0,BR,1540091731,93,-28.97,-51.07,49.28,5.5
166,inta,12,RU,1540091731,83,66.04,60.13,14.77,2.37
167,puerto ayora,12,EC,1540091732,100,-0.74,-90.35,70.12,14.45
168,mecca,20,SA,1540091234,92,21.43,39.83,67.01,3.94
169,port alfred,68,ZA,1540091732,92,-33.59,26.89,59.5,7.18
170,vardo,90,US,1540090500,81,39.62,-77.74,51.8,5.82
171,sibolga,48,ID,1540091733,87,1.74,98.78,76.87,1.36
172,general pico,100,AR,1540091733,92,-35.66,-63.75,59.45,13.44
173,ilulissat,48,GL,1540090200,61,69.22,-51.1,17.6,19.46
174,dustlik,0,UZ,1540091734,80,40.53,68.03,40.19,5.95
175,byron bay,92,AU,1540089000,61,-28.65,153.62,78.8,12.75
176,leningradskiy,88,RU,1540091735,100,69.38,178.42,28.22,13.56
177,baneh,0,IR,1540087200,87,35.99,45.88,51.8,5.82
178,rocha,12,UY,1540091735,93,-34.48,-54.34,48.52,6.17
179,sao miguel do araguaia,8,BR,1540091686,90,-13.28,-50.16,75.07,1.14
180,novopokrovka,0,RU,1540091736,48,45.85,134.51,56.98,3.27
181,la ronge,20,CA,1540087200,64,55.1,-105.3,33.8,5.82
182,gaffney,1,US,1540090500,54,35.07,-81.65,60.8,7.85
183,quelimane,92,MZ,1540091737,65,-17.88,36.89,74.17,13.22
184,esperance,40,TT,1540087200,88,10.24,-61.45,78.8,5.82
185,zhigalovo,88,RU,1540091738,75,54.81,105.15,30.02,3.04
186,praia da vitoria,75,PT,1540090800,93,38.73,-27.07,66.2,21.83
187,port blair,68,IN,1540091739,100,11.67,92.75,82.27,3.94
188,kushima,20,JP,1540087200,52,31.5,131.29,68.0,4.7
